"SATISFIED ORDERS"
"","Order Id","PC Product Id","Quantity","Profit","Discount","Net Profit"
"",368,12,28,48230,34440,82670
"",310,14,25,46312.5,30750,77062.5
"",391,12,27,43645.5,33210,76855.5
"",313,14,26,41496,31980,73476
"",364,13,28,41496,34440,75936
"",392,14,26,40014,31980,71994
"",385,14,23,39330,28290,67620
"",395,13,22,38874,27060,65934
"",352,13,20,35910,24600,60510
"",358,13,23,35397,28290,63687
"",356,14,16,31920,19680,51600
"",330,12,26,31694,31980,63674
"",361,14,26,30381,31980,62361
"",329,14,18,27702,22140,49842
"",337,13,20,27360,24600,51960
"",288,14,19,25992,23370,49362
"",297,13,15,25222.5,18450,43672.5
"",360,14,13,24823.5,15990,40813.5
"",321,13,25,23512.5,30750,54262.5
"",285,13,15,21802.5,18450,40252.5
"",397,12,28,21518,34440,55958
"",284,14,18,21033,22140,43173
"",333,12,16,18656,19680,38336
"",386,2,29,43065,23780,66845
"",331,12,17,18020,20910,38930
"",289,12,10,16430,12300,28730
"",405,0,27,40405.5,22140,62545.5
"",314,14,13,14449.5,15990,30439.5
"",309,2,24,38880,19680,58560
"",312,12,21,13912.5,25830,39742.5
"",402,12,20,13780,24600,38380
"",325,1,23,37777.5,18860,56637.5
"",411,14,18,12825,22140,34965
"",318,12,9,10971,11070,22041
"",381,11,27,41242.5,22140,63382.5
"",322,13,14,9975,17220,27195
"",382,14,4,7752,4920,12672
"",376,13,5,7410,6150,13560
"",407,1,20,31950,16400,48350
"",292,0,21,31857,17220,49077
"",326,14,6,7011,7380,14391
"",294,0,21,31426.5,17220,48646.5
"",341,3,29,31262,23780,55042
"",399,14,4,5244,4920,10164
"",347,3,22,29645,18040,47685
"",296,0,22,29315,18040,47355
"",298,5,29,57855,35670,93525
"",374,3,16,29008,13120,42128
"",373,8,26,34645,21320,55965
"",286,10,25,34075,20500,54575
"",365,7,30,55815,36900,92715
"",403,11,29,32712,23780,56492
"",415,12,1,1881.5,1230,3111.5
"",369,6,28,55062,34440,89502
"",306,1,26,26325,21320,47645
"",334,10,19,32148,15580,47728
"",362,12,1,1378,1230,2608
"",384,2,16,25560,13120,38680
"",338,8,28,30996,22960,53956
"",419,1,22,24750,18040,42790
"",323,8,20,29520,16400,45920
"",327,8,27,28782,22140,50922
"",417,2,18,22680,14760,37440
"",340,2,17,22185,13940,36125
"",328,1,24,22140,19680,41820
"",304,10,24,28200,19680,47880
"",409,10,30,28200,24600,52800
"",307,1,16,21240,13120,34360
"",412,0,15,19680,12300,31980
"",380,2,27,19440,22140,41580
"",290,10,19,24111,15580,39691
"",324,11,19,24111,15580,39691
"",353,11,17,23171,13940,37111
"",422,7,23,45597.5,28290,73887.5
"",282,0,24,16728,19680,36408
"",406,9,23,22770,18860,41630
"",319,1,12,16470,9840,26310
"",287,0,15,15990,12300,28290
"",408,2,16,15840,13120,28960
"",302,0,11,15785,9020,24805
"",401,9,13,20182.5,10660,30842.5
"",394,0,23,13673.5,18860,32533.5
"",339,11,20,19270,16400,35670
"",336,5,20,41040,24600,65640
"",370,9,13,18427.5,10660,29087.5
"",400,2,9,12352.5,7380,19732.5
"",345,0,11,11951.5,9020,20971.5
"",389,10,21,17766,17220,34986
"",420,1,16,11160,13120,24280
"",295,1,12,10530,9840,20370
"",383,10,27,15862.5,22140,38002.5
"",305,10,11,15768.5,9020,24788.5
"",393,9,13,15210,10660,25870
"",300,9,14,15120,11480,26600
"",357,8,12,15006,9840,24846
"",344,1,8,8280,6560,14840
"",363,10,12,13536,9840,23376
"",387,11,18,13536,14760,28296
"",375,0,8,7052,6560,13612
"",416,11,10,12925,8200,21125
"",396,3,1,1029,820,1849
"",414,5,1,1795.5,1230,3025.5
"TOTALS","","","",2.48325e+06,375660,2.85891e+06


"CANCELLED ORDERS"
"","Order Id","PC Product Id","Quantity","Total Profit","Cancellation Cost"
421,2,7,6300,472.5
320,8,11,10598.5,676.5
355,9,10,10575,675
332,2,7,3937.5,472.5
354,1,3,1822.5,202.5
348,4,22,30316,1749
301,4,19,30210,1510.5
299,10,11,7496.5,775.5
366,4,29,29203,2305.5
359,8,5,6252.5,307.5
367,9,8,5580,540
410,8,9,5535,553.5
335,11,5,4230,352.5
350,8,5,4100,307.5
349,5,18,26163,1539
413,11,3,2961,211.5
371,8,4,2542,246
283,9,2,2430,135
404,5,29,24795,2479.5
281,9,3,2025,202.5
377,4,14,22631,1113
390,5,16,20064,1368
317,6,10,17955,855
388,4,15,17887.5,1192.5
418,5,20,17670,1710
291,5,21,17356.5,1795.5
351,6,15,17100,1282.5
311,7,6,11529,549
308,7,13,11498.5,1189.5
293,6,7,10972.5,598.5
316,6,9,9747,769.5
315,4,8,8692,636
343,5,6,8208,513
378,5,4,5700,342
379,6,2,2736,171
303,4,2,2544,159
398,4,2,1749,159
372,6,1,1168.5,85.5
342,5,1,1168.5,85.5
346,6,1,969,85.5
"TOTALS","","","",2.48325e+06,375660,30373.5
